#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 4
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-29 15:57:49.866 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3dccc45a-c0ab-467a-9627-80ba7ef732a3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-29 15:57:49.886 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3dccc45a-c0ab-467a-9627-80ba7ef732a3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-29 15:57:49.927 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:07d0838f-9cf1-48e5-a3c6-66dbbb821ca2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-29 15:57:49.927 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:07d0838f-9cf1-48e5-a3c6-66dbbb821ca2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-29 15:57:49.927 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:07d0838f-9cf1-48e5-a3c6-66dbbb821ca2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-29 15:57:49.937 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1a5523f0-ad3b-4845-8665-7c370b8f9222, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-29 15:57:49.937 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1a5523f0-ad3b-4845-8665-7c370b8f9222, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-29 15:57:49.967 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d2479ba1-699e-4f6d-8afb-a844b3833f93, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-29 15:57:49.967 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d2479ba1-699e-4f6d-8afb-a844b3833f93, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-29 15:57:49.987 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3a2a0a16-a602-40af-a62c-93a101fb7acb, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
