#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-17 19:58:51.698 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:69899507-193b-4af4-aca0-0cb4911e5ae7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.199 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6ca957f8-9c46-4134-a7a0-e4e5b45fd7bc, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.199 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6ca957f8-9c46-4134-a7a0-e4e5b45fd7bc, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.230 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6ca957f8-9c46-4134-a7a0-e4e5b45fd7bc, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-17 19:58:52.331 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4c04a71c-7b17-4059-b502-a83864878dfa, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-17 19:58:52.331 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4c04a71c-7b17-4059-b502-a83864878dfa, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.331 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4c04a71c-7b17-4059-b502-a83864878dfa, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.500 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7dd0537e-c84b-4eea-bd0a-ddd4bcd2961f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.500 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7dd0537e-c84b-4eea-bd0a-ddd4bcd2961f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.585 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ab2c7e98-798d-4e8e-b00a-145c7ebc1b63, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.585 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ab2c7e98-798d-4e8e-b00a-145c7ebc1b63, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.616 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a5b76bd0-b868-4866-9e6f-cca05a79ac3e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.616 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a5b76bd0-b868-4866-9e6f-cca05a79ac3e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-17 19:58:52.686 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2b60c51e-bdee-4386-ba5f-04362e638ae9, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
