#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-26 19:39:30.553 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7b69dbb9-a52b-4ffc-b866-019761bab883, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:30.553 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7b69dbb9-a52b-4ffc-b866-019761bab883, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:30.611 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:470d879b-a3ea-4044-94b7-99cdf9a72bcd, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-26 19:39:30.714 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:829d79a1-6459-46c0-a86c-13b64412681f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-26 19:39:30.719 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:829d79a1-6459-46c0-a86c-13b64412681f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:30.719 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:829d79a1-6459-46c0-a86c-13b64412681f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:30.733 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:860ee8c7-704e-4c34-981c-610a61b89e05, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:30.733 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:860ee8c7-704e-4c34-981c-610a61b89e05, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.030 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:56149513-8192-4861-8071-e9dbd5e19f39, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.030 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:56149513-8192-4861-8071-e9dbd5e19f39, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.078 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e3898b3e-7618-42a6-ad14-cc8dc299bdff, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.078 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e3898b3e-7618-42a6-ad14-cc8dc299bdff, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.123 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c904fb8f-040f-4f67-881b-67cc1b9152e3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.124 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c904fb8f-040f-4f67-881b-67cc1b9152e3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.140 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fb4918e7-5e3f-4e5f-ac0b-93e549d5f195, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.140 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fb4918e7-5e3f-4e5f-ac0b-93e549d5f195, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.151 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4124dc26-8c39-47c4-8965-2ad914433252, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.151 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4124dc26-8c39-47c4-8965-2ad914433252, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.410 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fcc5ff04-c7eb-4d08-85ba-4edab2bf6b53, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-26 19:39:31.410 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fcc5ff04-c7eb-4d08-85ba-4edab2bf6b53, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
