#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-10-29 13:34:49.198 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3fa293c4-09ae-43fa-8bda-86646b8aef07, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.198 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3fa293c4-09ae-43fa-8bda-86646b8aef07, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.214 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1b0f90f7-51a6-4485-a5e4-105916d00ea3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.214 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1b0f90f7-51a6-4485-a5e4-105916d00ea3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.283 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f0e7f3bb-b1fb-461f-a1bb-c0f2570565c8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.283 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f0e7f3bb-b1fb-461f-a1bb-c0f2570565c8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.314 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8c3e446d-191d-41a8-a6a3-d6a2a0a9a2ef, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.314 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8c3e446d-191d-41a8-a6a3-d6a2a0a9a2ef, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.383 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bc972598-5f6a-41c2-853f-bd0d74c913ff, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-29 13:34:49.383 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bc972598-5f6a-41c2-853f-bd0d74c913ff, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
