#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-10-28 08:27:07.049 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4d7973d3-63de-43ae-8dd8-7be70de82de2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:07.049 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4d7973d3-63de-43ae-8dd8-7be70de82de2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:07.250 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4d7973d3-63de-43ae-8dd8-7be70de82de2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-10-28 08:27:07.787 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:633cee77-7085-4a5f-8cb3-633486e1f39e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-10-28 08:27:07.895 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:633cee77-7085-4a5f-8cb3-633486e1f39e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:07.895 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:633cee77-7085-4a5f-8cb3-633486e1f39e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:07.979 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:64db4b55-cb8a-4f64-9f13-62c7e16e8b4f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:07.979 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:64db4b55-cb8a-4f64-9f13-62c7e16e8b4f, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:08.066 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e30cffd7-4c0a-4706-b211-f1ccc1dfef28, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:08.066 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e30cffd7-4c0a-4706-b211-f1ccc1dfef28, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:08.119 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f480d9f2-b501-4073-bbcf-13d380621d79, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:08.119 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f480d9f2-b501-4073-bbcf-13d380621d79, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:08.235 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9a1d4846-8016-461c-b213-a36788f34fce, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:08.235 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9a1d4846-8016-461c-b213-a36788f34fce, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:08.287 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8d489c1c-04db-4b58-a99b-acee2d1bb9d6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:08.287 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:8d489c1c-04db-4b58-a99b-acee2d1bb9d6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:08.302 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b906cef9-eb06-4335-82a5-89d1a7e34299, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-28 08:27:08.302 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b906cef9-eb06-4335-82a5-89d1a7e34299, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-28 08:27:09.100 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:90f22786-cf03-4e3b-bd30-6f63c38a95a7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
