#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-01 00:17:46.919 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:910de67a-03af-49a7-b486-20daab84ae96, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:46.919 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:910de67a-03af-49a7-b486-20daab84ae96, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:46.934 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:de717db7-a7a5-4e8e-8f14-5001099ef52d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:46.934 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:de717db7-a7a5-4e8e-8f14-5001099ef52d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:46.974 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1b4fcad8-e8dc-466c-a0da-342846d655d4, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:46.974 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1b4fcad8-e8dc-466c-a0da-342846d655d4, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:46.994 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6fdc9193-d84a-4f66-99a8-36cdda3b2c2c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:46.994 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6fdc9193-d84a-4f66-99a8-36cdda3b2c2c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.009 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:99f782bb-52a1-4e54-bf1a-91044f53a706, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.009 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:99f782bb-52a1-4e54-bf1a-91044f53a706, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-01 00:17:47.319 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3945c807-b6a8-4fa6-b254-3199dcfe25d9, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
