2020-10-20 22:31:30.378 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:abf1c925-b67e-4761-8aab-d91bcfa0f770, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-10-20 22:31:30.383 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:abf1c925-b67e-4761-8aab-d91bcfa0f770, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.383 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:abf1c925-b67e-4761-8aab-d91bcfa0f770, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.428 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c8de5b20-b50d-46ce-b7b8-03fe8dfb96ab, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.428 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c8de5b20-b50d-46ce-b7b8-03fe8dfb96ab, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.463 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b8a936d5-8443-4efa-af4f-1cc2ac776b7b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.463 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b8a936d5-8443-4efa-af4f-1cc2ac776b7b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.476 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4ac86042-af3a-454a-8e22-3a33a5444f01, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.476 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4ac86042-af3a-454a-8e22-3a33a5444f01, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-20 22:31:30.541 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a3d79e76-5678-4010-8790-d126d75598b3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
