#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-10-26 20:11:01.821 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:2e43c395-959f-42cd-9306-b4d3ed5850aa, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-26 20:11:01.921 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d869a8b2-ff6b-43e2-9c2f-d6bce6da70d7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-26 20:11:01.921 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d869a8b2-ff6b-43e2-9c2f-d6bce6da70d7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-26 20:11:01.936 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:13a8565f-5e5f-4e57-97f8-6a992a74e5b4, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-26 20:11:01.936 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:13a8565f-5e5f-4e57-97f8-6a992a74e5b4, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-26 20:11:01.986 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:70b75b8f-2c19-478a-942f-a9a92fbde1bf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-26 20:11:01.986 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:70b75b8f-2c19-478a-942f-a9a92fbde1bf, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.021 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:28ad7f5f-73e8-4ddf-9feb-6b38fc5bf3ce, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.021 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:28ad7f5f-73e8-4ddf-9feb-6b38fc5bf3ce, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-26 20:11:02.056 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:5e42c4d7-58bf-4e0f-a0a2-8b7aa544ee92, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
