#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-03 13:04:44.912 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f8c937aa-ff2f-44f4-91ea-71d7df9a2425, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-03 13:04:44.950 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4d5df0b0-ed40-4b30-a610-9f341ae36173, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-03 13:04:44.950 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4d5df0b0-ed40-4b30-a610-9f341ae36173, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-03 13:04:44.997 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f0d0cd83-2509-4601-a65b-5212923d2c05, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-03 13:04:44.997 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f0d0cd83-2509-4601-a65b-5212923d2c05, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-03 13:04:45.043 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:0891af37-8606-4c6b-992c-084f3bf48db6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-03 13:04:45.043 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:0891af37-8606-4c6b-992c-084f3bf48db6, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-03 13:04:45.112 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bc8e1dfa-4cb4-4cf9-ab55-1999ffa8da5c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-03 13:04:45.112 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bc8e1dfa-4cb4-4cf9-ab55-1999ffa8da5c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-03 13:04:45.128 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6175a31f-f614-49ca-97fb-28efaecb1bfe, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-03 13:04:45.128 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6175a31f-f614-49ca-97fb-28efaecb1bfe, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-03 13:04:45.150 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9ae717f0-9d3f-40c8-bb9b-cbcbc22292ab, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-03 13:04:45.150 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9ae717f0-9d3f-40c8-bb9b-cbcbc22292ab, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-03 13:04:45.529 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9bc5583e-78ba-4f68-9e2b-128aab6d7d6b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-03 13:04:45.529 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9bc5583e-78ba-4f68-9e2b-128aab6d7d6b, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
