#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-11 23:23:19.936 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:0270928f-5040-4dfb-ae63-dfcdb82a3e80, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-11 23:23:19.951 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:0270928f-5040-4dfb-ae63-dfcdb82a3e80, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:19.951 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:0270928f-5040-4dfb-ae63-dfcdb82a3e80, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.005 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3bbb906d-77b7-4958-8db1-464d6e456753, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.005 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3bbb906d-77b7-4958-8db1-464d6e456753, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.036 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:74bc1c1e-4154-4b01-ae27-2f4e2029af06, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.036 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:74bc1c1e-4154-4b01-ae27-2f4e2029af06, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.058 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1ccfa450-10c5-4e58-8895-10917d8e8478, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.058 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1ccfa450-10c5-4e58-8895-10917d8e8478, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.105 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fd9db616-3db2-4ef5-9d8f-3504e3bd3072, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.105 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fd9db616-3db2-4ef5-9d8f-3504e3bd3072, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.121 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:42955718-6aa8-4211-8874-da610d5590a3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.121 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:42955718-6aa8-4211-8874-da610d5590a3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.136 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d2d0418c-9ab2-4489-8626-6ec41cd7cef2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.136 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d2d0418c-9ab2-4489-8626-6ec41cd7cef2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.421 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ba2c95b8-39e7-420f-8b12-9011d8ba2d27, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.421 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ba2c95b8-39e7-420f-8b12-9011d8ba2d27, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.421 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d574c9dc-9a37-44ac-8d2c-09a65353c13a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-11 23:23:20.421 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d574c9dc-9a37-44ac-8d2c-09a65353c13a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
