#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 4
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-12-01 19:09:50.338 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:81232075-76ab-49ea-b8cd-7d52ff819f02, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-12-01 19:09:50.343 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:81232075-76ab-49ea-b8cd-7d52ff819f02, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.343 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:81232075-76ab-49ea-b8cd-7d52ff819f02, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.383 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:92d9eba6-103f-4f57-a5d3-2650830a8cc2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.383 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:92d9eba6-103f-4f57-a5d3-2650830a8cc2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.418 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d9a232eb-a02b-431d-a90a-66ccb998a0ea, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.418 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:d9a232eb-a02b-431d-a90a-66ccb998a0ea, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.689 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bb8a8bdd-6ab9-4f50-92bc-95db01f44417, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.689 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:bb8a8bdd-6ab9-4f50-92bc-95db01f44417, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-01 19:09:50.764 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:065ca111-a8d8-4bba-b386-9a37c7b56dcb, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
