#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-10-30 15:58:21.311 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9a762a81-ee90-40ed-aeba-60c194fad1ad, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.326 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fda29aa1-d892-4dfa-a131-eab18c11bda3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.326 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fda29aa1-d892-4dfa-a131-eab18c11bda3, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.361 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:69421e24-4aa8-4f99-99f5-11fee1cea889, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.361 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:69421e24-4aa8-4f99-99f5-11fee1cea889, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.376 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:24e71756-a317-49b2-823a-e026d19b019a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.376 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:24e71756-a317-49b2-823a-e026d19b019a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.416 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7e72c8bf-6ec2-4d73-aa1f-7fe47b0f27d2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.416 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7e72c8bf-6ec2-4d73-aa1f-7fe47b0f27d2, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.431 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:df5ff344-2893-4f2a-83ad-5892a4402ff1, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.431 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:df5ff344-2893-4f2a-83ad-5892a4402ff1, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.446 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:5edd11f9-737c-4935-9ca9-e151f8c8a541, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.446 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:5edd11f9-737c-4935-9ca9-e151f8c8a541, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-10-30 15:58:21.781 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:35b41f2c-6095-4997-8ae2-7890eb1142ea, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
