#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 4
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-12-04 20:20:13.125 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:71eb8bc2-d57d-4390-b82a-ef6f077c2b9e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.125 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:71eb8bc2-d57d-4390-b82a-ef6f077c2b9e, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.189 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:02dc8262-c2b0-48ac-8672-161df146417a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-12-04 20:20:13.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:02dc8262-c2b0-48ac-8672-161df146417a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.203 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:02dc8262-c2b0-48ac-8672-161df146417a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.216 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e030514c-df9f-4151-be3e-a3a13789fa6c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.216 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e030514c-df9f-4151-be3e-a3a13789fa6c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.231 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c6eb79ec-81e9-4d9e-9cde-d5e7d209605c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.232 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:c6eb79ec-81e9-4d9e-9cde-d5e7d209605c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.512 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:17bb2981-a9c8-4d28-ace6-7dddb0a0f341, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.512 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:17bb2981-a9c8-4d28-ace6-7dddb0a0f341, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.542 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9c7e465a-17d4-4d21-91d7-790950327ee5, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.542 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9c7e465a-17d4-4d21-91d7-790950327ee5, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.556 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a105335d-2ba1-415c-bc2b-89207ca5e6c9, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.556 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a105335d-2ba1-415c-bc2b-89207ca5e6c9, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.563 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1d8266e5-7535-4c22-8303-a8db0e974b96, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.563 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:1d8266e5-7535-4c22-8303-a8db0e974b96, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.728 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a3cbb3e1-5034-48f1-b65e-85f2026039e7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-12-04 20:20:13.728 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a3cbb3e1-5034-48f1-b65e-85f2026039e7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
