#Software: Bizagi Web
#Version: 1.0.0.0
#Platform: CLR 4.0.30319.42000
#OSVersion: Microsoft Windows NT 6.2.9200.0
#Machine: TARGARYEN
#ProcessorCount: 8
#User Name: Wise
#Domain: Targaryen

#Fields: date time session level module submodule message
2020-11-08 22:56:25.914 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b39c6fd3-9ca7-47ed-a21b-25ae0dfb31ac, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:25.961 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b39c6fd3-9ca7-47ed-a21b-25ae0dfb31ac, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-08 22:56:26.032 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e1a4a6b4-823a-49b6-8852-36ab66752937, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: AuthenticateRequest: Principal Identity Name: domain\admon, IP:127.0.0.1..
2020-11-08 22:56:26.032 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e1a4a6b4-823a-49b6-8852-36ab66752937, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.032 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:e1a4a6b4-823a-49b6-8852-36ab66752937, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.101 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:cb8d6d28-9c0d-46d2-ba8e-7d270fc21485, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.101 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:cb8d6d28-9c0d-46d2-ba8e-7d270fc21485, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.162 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f0cce225-aa0b-4d4e-86cc-cecb7c516a43, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.162 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:f0cce225-aa0b-4d4e-86cc-cecb7c516a43, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.185 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:526681f6-ba4e-43aa-9094-654958a6cfc9, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.185 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:526681f6-ba4e-43aa-9094-654958a6cfc9, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.232 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9a24b694-3e22-4d4e-9823-85ff79bb6697, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.232 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:9a24b694-3e22-4d4e-9823-85ff79bb6697, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.263 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7c5e83cb-b66d-48a8-901c-4544e386e8c8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.263 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7c5e83cb-b66d-48a8-901c-4544e386e8c8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.286 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:58a38458-80cd-4b58-8d91-fee2f8eecb02, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.286 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:58a38458-80cd-4b58-8d91-fee2f8eecb02, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.586 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fbab3745-e39d-4ec8-82f9-a220c679617c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.586 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:fbab3745-e39d-4ec8-82f9-a220c679617c, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.586 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:124c2e31-162c-417f-be0c-9cb45ac8b2f7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.586 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:124c2e31-162c-417f-be0c-9cb45ac8b2f7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.602 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3c9ce5e4-5c79-4042-a266-adfb2ff3550d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.602 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:3c9ce5e4-5c79-4042-a266-adfb2ff3550d, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.617 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4976b581-f93a-4e34-9c30-c7d3727e49d8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.617 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:4976b581-f93a-4e34-9c30-c7d3727e49d8, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.648 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:49930073-36df-4d51-929f-2ee0d4810b44, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.648 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:49930073-36df-4d51-929f-2ee0d4810b44, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.825 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7b903a84-2263-4fef-83c4-2ca5d0d06911, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.825 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7b903a84-2263-4fef-83c4-2ca5d0d06911, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.846 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:eaf35407-6315-4217-b618-1d9625c93ddd, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:26.846 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:eaf35407-6315-4217-b618-1d9625c93ddd, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.074 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ff60c198-3258-4a70-bcbf-f597690230bd, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.075 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:ff60c198-3258-4a70-bcbf-f597690230bd, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.118 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:942cd37a-30dd-4e18-a74e-1cca33999fb7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.118 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:942cd37a-30dd-4e18-a74e-1cca33999fb7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.212 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a9c04609-063b-4db3-a961-fcf359f9d00a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.212 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a9c04609-063b-4db3-a961-fcf359f9d00a, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.250 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:eefd3007-1054-46b6-90c4-139e8137be51, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.250 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:eefd3007-1054-46b6-90c4-139e8137be51, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.291 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b658d806-c03c-4cfb-9954-1dbb735da9d5, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.292 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:b658d806-c03c-4cfb-9954-1dbb735da9d5, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.378 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a6951a8a-d919-4093-a440-cec55e6f3cbb, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.378 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:a6951a8a-d919-4093-a440-cec55e6f3cbb, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.513 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:5200d96e-63f6-4159-810e-7e7923128229, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.514 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:5200d96e-63f6-4159-810e-7e7923128229, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.618 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7e7e69c5-e40f-4f06-a2e8-8ffdccdc0572, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.618 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:7e7e69c5-e40f-4f06-a2e8-8ffdccdc0572, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.627 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:49732209-53a9-48f8-90a3-46226474d513, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.627 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:49732209-53a9-48f8-90a3-46226474d513, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.635 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6ca50b03-0474-4687-94c6-eff4b6a720b7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: domain\admon, IP:127.0.0.1.
2020-11-08 22:56:27.635 None     INFO AUTHENTICATION------ SESSIONREQUEST------ Request ID:6ca50b03-0474-4687-94c6-eff4b6a720b7, AuthenticationType: BizAgi, AuthenticationSubType:None, Message: ValidateRequest: Authentication:true, User enable, domain\admon, IP:127.0.0.1.
